,val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,Unnamed: 6,i,filetype,seed,dataset,method,test_mcc,test_loss,test_step,val_acc,best_val_acc,test_acc,val_f1,val_acc_and_f1,Unnamed: 8,test_f1,test_acc_and_f1,val_pearson,val_spearmanr,val_corr,best_val_spearmanr,test_pearson,test_spearmanr,test_corr
82,0.55453,0.45288,0.595532,1.1e-05,0.256675,400.0,,4,raw_log,33,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
83,0.560653,0.498547,0.595532,9e-06,0.270819,480.0,,5,raw_log,33,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
84,0.54428,0.650568,0.595532,7e-06,0.202924,560.0,,6,raw_log,33,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
85,0.570167,0.648945,0.595532,5e-06,0.159532,640.0,,7,raw_log,33,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
86,0.585728,0.653878,0.595532,2e-06,0.156306,720.0,,8,raw_log,33,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
87,0.565219,0.678065,0.595532,0.0,0.129689,800.0,,9,raw_log,33,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
88,0.565219,0.678216,0.595532,0.0,0.099465,804.0,,10,raw_log,33,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
89,,,,,,,,0,test_last_log,33,CoLA,standard_debiased,0.6612,0.634,804.0,,,,,,,,,,,,,,,
90,,,,,,,,0,test_best_log,33,CoLA,standard_debiased,0.6612,0.6327,804.0,,,,,,,,,,,,,,,
91,0.113798,0.610701,0.113798,2e-05,0.609244,80.0,,0,raw_log,38,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
92,0.489994,0.474998,0.489994,1.8e-05,0.501877,160.0,,1,raw_log,38,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
93,0.512516,0.49225,0.512516,1.6e-05,0.417478,240.0,,2,raw_log,38,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
94,0.475588,0.702625,0.512516,1.3e-05,0.329809,320.0,,3,raw_log,38,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
95,0.507127,0.587542,0.512516,1.1e-05,0.293892,400.0,,4,raw_log,38,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
96,0.523261,0.538957,0.523261,9e-06,0.25977,480.0,,5,raw_log,38,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
97,0.544162,0.700042,0.544162,7e-06,0.239838,560.0,,6,raw_log,38,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
98,0.523143,0.772496,0.544162,5e-06,0.14373,640.0,,7,raw_log,38,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
99,0.528996,0.674879,0.544162,2e-06,0.136446,720.0,,8,raw_log,38,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
100,0.534589,0.647893,0.544162,0.0,0.141517,800.0,,9,raw_log,38,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
101,0.534589,0.648779,0.544162,0.0,0.229696,804.0,,10,raw_log,38,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
102,,,,,,,,0,test_last_log,38,CoLA,standard_debiased,0.6656,0.5852,804.0,,,,,,,,,,,,,,,
103,,,,,,,,0,test_best_log,38,CoLA,standard_debiased,0.6609,0.5858,804.0,,,,,,,,,,,,,,,
104,0.237159,0.646738,0.237159,2e-05,0.555949,80.0,,0,raw_log,0,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
105,0.447218,0.540393,0.447218,1.8e-05,0.492811,160.0,,1,raw_log,0,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
106,0.523453,0.490544,0.523453,1.6e-05,0.412191,240.0,,2,raw_log,0,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
107,0.50717,0.603856,0.523453,1.3e-05,0.297119,320.0,,3,raw_log,0,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
108,0.605216,0.454513,0.605216,1.1e-05,0.272024,400.0,,4,raw_log,0,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
109,0.545456,0.514435,0.605216,9e-06,0.261837,480.0,,5,raw_log,0,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
110,0.560653,0.559915,0.605216,7e-06,0.23645,560.0,,6,raw_log,0,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
111,0.580622,0.610192,0.605216,5e-06,0.141858,640.0,,7,raw_log,0,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
112,0.544487,0.688593,0.605216,2e-06,0.127303,720.0,,8,raw_log,0,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
113,0.570368,0.61329,0.605216,0.0,0.137399,800.0,,9,raw_log,0,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
114,0.570368,0.613303,0.605216,0.0,0.123509,804.0,,10,raw_log,0,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
115,,,,,,,,0,test_last_log,0,CoLA,standard_debiased,0.6605,0.625,804.0,,,,,,,,,,,,,,,
116,,,,,,,,0,test_best_log,0,CoLA,standard_debiased,0.6605,0.6187,804.0,,,,,,,,,,,,,,,
117,0.325878,0.613298,0.325878,2e-05,0.640354,80.0,,0,raw_log,20,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
118,0.475178,0.559381,0.475178,1.8e-05,0.493628,160.0,,1,raw_log,20,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
119,0.543041,0.454475,0.543041,1.6e-05,0.434901,240.0,,2,raw_log,20,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
120,0.534137,0.490545,0.543041,1.3e-05,0.396452,320.0,,3,raw_log,20,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
121,0.539833,0.439711,0.543041,1.1e-05,0.350364,400.0,,4,raw_log,20,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
122,0.570637,0.434953,0.570637,9e-06,0.324043,480.0,,5,raw_log,20,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
123,0.556842,0.512234,0.570637,7e-06,0.27327,560.0,,6,raw_log,20,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
124,0.540685,0.527604,0.570637,5e-06,0.232395,640.0,,7,raw_log,20,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
125,0.538935,0.56987,0.570637,2e-06,0.213549,720.0,,8,raw_log,20,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
126,0.56582,0.516611,0.570637,0.0,0.223141,800.0,,9,raw_log,20,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
127,0.560653,0.517367,0.570637,0.0,0.091523,804.0,,10,raw_log,20,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
128,,,,,,,,0,test_last_log,20,CoLA,standard_debiased,0.618,0.5814,804.0,,,,,,,,,,,,,,,
129,,,,,,,,0,test_best_log,20,CoLA,standard_debiased,0.623,0.581,804.0,,,,,,,,,,,,,,,
130,0.327738,0.645162,0.327738,2e-05,0.598603,80.0,,0,raw_log,25,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
131,0.469037,0.696405,0.469037,1.8e-05,0.451368,160.0,,1,raw_log,25,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
132,0.580164,0.518614,0.580164,1.6e-05,0.420108,240.0,,2,raw_log,25,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
133,0.550669,0.573044,0.580164,1.3e-05,0.314328,320.0,,3,raw_log,25,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
134,0.485533,0.564122,0.580164,1.1e-05,0.275969,400.0,,4,raw_log,25,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
135,0.569983,0.530962,0.580164,9e-06,0.269651,480.0,,5,raw_log,25,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
136,0.587231,0.527849,0.587231,7e-06,0.237758,560.0,,6,raw_log,25,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
137,0.570299,0.60361,0.587231,5e-06,0.15576,640.0,,7,raw_log,25,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
138,0.595682,0.596506,0.595682,2e-06,0.139165,720.0,,8,raw_log,25,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
139,0.585377,0.605265,0.595682,0.0,0.131554,800.0,,9,raw_log,25,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
140,0.585377,0.605446,0.595682,0.0,0.089405,804.0,,10,raw_log,25,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
141,,,,,,,,0,test_last_log,25,CoLA,standard_debiased,0.621,0.6942,804.0,,,,,,,,,,,,,,,
142,,,,,,,,0,test_best_log,25,CoLA,standard_debiased,0.621,0.6943,804.0,,,,,,,,,,,,,,,
143,0.420686,0.560976,0.420686,2e-05,0.696453,80.0,,0,raw_log,21,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
144,0.476086,0.467201,0.476086,1.8e-05,0.485411,160.0,,1,raw_log,21,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
145,0.523103,0.555486,0.523103,1.6e-05,0.430199,240.0,,2,raw_log,21,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
146,0.582639,0.480931,0.582639,1.3e-05,0.337096,320.0,,3,raw_log,21,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
147,0.48617,0.646766,0.582639,1.1e-05,0.298105,400.0,,4,raw_log,21,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
148,0.574265,0.398185,0.582639,9e-06,0.273688,480.0,,5,raw_log,21,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
149,0.567199,0.559159,0.582639,7e-06,0.231205,560.0,,6,raw_log,21,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
150,0.570974,0.646623,0.582639,5e-06,0.140308,640.0,,7,raw_log,21,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
151,0.569983,0.707141,0.582639,2e-06,0.133532,720.0,,8,raw_log,21,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
152,0.585517,0.600257,0.585517,0.0,0.164354,800.0,,9,raw_log,21,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
153,0.585517,0.600802,0.585517,0.0,0.083698,804.0,,10,raw_log,21,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
154,,,,,,,,0,test_last_log,21,CoLA,standard_debiased,0.6311,0.6054,804.0,,,,,,,,,,,,,,,
155,,,,,,,,0,test_best_log,21,CoLA,standard_debiased,0.6359,0.6056,804.0,,,,,,,,,,,,,,,
156,0.453221,0.567213,0.453221,2e-05,0.555201,80.0,,0,raw_log,37,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
157,0.562896,0.451996,0.562896,1.8e-05,0.445978,160.0,,1,raw_log,37,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
158,0.57122,0.4324,0.57122,1.6e-05,0.414159,240.0,,2,raw_log,37,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
